    PID TTY          TIME CMD
   2122 ?        00:00:00 evolution-sourc
   2127 ?        00:00:00 dconf-service
   2133 ?        00:00:00 evolution-calen
   2142 ?        00:00:00 evolution-addre
   2152 ?        00:00:00 gvfsd-trash
   2170 ?        00:00:00 gjs
   2171 ?        00:00:00 at-spi2-registr
   2173 ?        00:00:00 snapd-desktop-i
   2182 ?        00:00:00 sh
   2184 ?        00:00:00 gsd-a11y-settin
   2190 ?        00:00:00 gsd-color
   2191 ?        00:00:00 gsd-datetime
   2193 ?        00:00:00 gsd-housekeepin
   2194 ?        00:00:00 gsd-keyboard
   2195 ?        00:00:00 gsd-media-keys
   2197 ?        00:00:02 ibus-daemon
   2200 ?        00:00:00 gsd-power
   2201 ?        00:00:00 gsd-print-notif
   2203 ?        00:00:00 gsd-rfkill
   2204 ?        00:00:00 gsd-screensaver
   2205 ?        00:00:00 gsd-sharing
   2206 ?        00:00:00 gsd-smartcard
   2217 ?        00:00:00 gsd-sound
   2228 ?        00:00:00 gsd-wacom
   2253 ?        00:00:00 xdg-desktop-por
   2286 ?        00:00:00 xdg-desktop-por
   2301 ?        00:00:00 gsd-printer
   2303 ?        00:00:00 gsd-disk-utilit
   2308 ?        00:00:00 VBoxClient
   2310 ?        00:00:00 VBoxClient
   2322 ?        00:00:00 evolution-alarm
   2354 ?        00:00:00 ibus-dconf
   2355 ?        00:00:02 ibus-extension-
   2359 ?        00:00:00 ibus-portal
   2379 ?        00:00:13 Xwayland
   2382 ?        00:00:08 snap-store
   2417 ?        00:00:00 ibus-engine-sim
   2428 ?        00:00:00 gvfsd-metadata
   2453 ?        00:00:01 gsd-xsettings
   2535 ?        00:00:00 xdg-desktop-por
   2545 ?        00:00:00 ibus-x11
   2590 ?        00:00:00 gjs
   2594 ?        00:00:00 VBoxClient
   2596 ?        00:00:01 VBoxClient
   2598 ?        00:00:00 VBoxClient
   2599 ?        00:00:05 VBoxClient
   2617 ?        00:00:00 VBoxClient
   2618 ?        00:00:00 VBoxClient
   2691 ?        00:00:01 fwupd
   3192 ?        00:00:00 kworker/2:4-events
   3644 ?        00:00:01 gnome-terminal-
   3662 pts/0    00:00:00 bash
   3676 ?        00:00:00 update-notifier
   3727 ?        00:00:00 seahorse
   3784 ?        00:00:00 gpg-agent
   4028 ?        00:00:06 code
   4030 ?        00:00:00 code
   4031 ?        00:00:00 code
   4043 ?        00:00:00 chrome_crashpad
   4070 ?        00:00:00 code
   4077 ?        00:00:03 code
   4094 ?        00:00:28 code
   4113 ?        00:00:06 code
   4126 ?        00:00:07 code
   4138 ?        00:00:00 code
   4161 ?        00:00:00 code
   4215 ?        00:00:10 cpptools
   4240 ?        00:00:00 code
   4423 ?        00:00:29 qtcreator
   4443 ?        00:00:00 kworker/1:0-events
   4446 ?        00:00:00 qtcreator_proce
   4555 ?        00:00:00 clangd.main
   4631 ?        00:00:00 cpptools-srv
   4692 ?        00:00:01 cpptools-srv
   4817 ?        00:00:37 chrome
   4823 ?        00:00:00 cat
   4824 ?        00:00:00 cat
